nom,cognoms,curs,email,contrasenya,email,contrasenya
Nuria,Colom Bosch,3rESO,nuria.colombosch@insgabrielamistral.cat,JRjj&&v=/_,nuria.colombosch@insgabrielamistral.cat,JRjj&&v=/_
Anna,Sanchez Prat,1rESO,anna.sanchezprat@insgabrielamistral.cat,Lsf4uh]v1:,anna.sanchezprat@insgabrielamistral.cat,Lsf4uh]v1:
Marta,Torres Costa,2nESO,marta.torrescosta@insgabrielamistral.cat,];PHrxl>F=,marta.torrescosta@insgabrielamistral.cat,];PHrxl>F=
Maria,Colom Torres,DAM1,maria.colomtorres@insgabrielamistral.cat,{g&GS{Vf=K,maria.colomtorres@insgabrielamistral.cat,{g&GS{Vf=K
Josep,Torres Colom,SMIX1A,josep.torrescolom@insgabrielamistral.cat,ImK>!/'e[!,josep.torrescolom@insgabrielamistral.cat,ImK>!/'e[!
Mireia,Garcia Vidal,ASIX2,mireia.garciavidal@insgabrielamistral.cat,VB5l;\Gx(E,mireia.garciavidal@insgabrielamistral.cat,VB5l;\Gx(E
Sandra,Sanchez Martínez,4rtESO,sandra.sanchezmartínez@insgabrielamistral.cat,",P?4krH=^Z",sandra.sanchezmartínez@insgabrielamistral.cat,",P?4krH=^Z"
Josep,Sanchez Sanchez,3rESO,josep.sanchezsanchez@insgabrielamistral.cat,"""J=-xx'[pP",josep.sanchezsanchez@insgabrielamistral.cat,"""J=-xx'[pP"
Josep,Bosch Navarro,2nESO,josep.boschnavarro@insgabrielamistral.cat,Xf3t]D_p>Q,josep.boschnavarro@insgabrielamistral.cat,Xf3t]D_p>Q
Anna,López Morales,4rtESO,anna.lópezmorales@insgabrielamistral.cat,d'&HtVxw};,anna.lópezmorales@insgabrielamistral.cat,d'&HtVxw};
Joan,Sanchez Prat,SMIX1B,joan.sanchezprat@insgabrielamistral.cat,~*RwRtKqpq,joan.sanchezprat@insgabrielamistral.cat,~*RwRtKqpq
Joan,Vidal Prat,DAM2,joan.vidalprat@insgabrielamistral.cat,byS8KAQ<;O,joan.vidalprat@insgabrielamistral.cat,byS8KAQ<;O
Sandra,Mas Navarro,SMIX1B,sandra.masnavarro@insgabrielamistral.cat,@1+YxALwQ$,sandra.masnavarro@insgabrielamistral.cat,@1+YxALwQ$
Clara,Ribas Mas,2nESO,clara.ribasmas@insgabrielamistral.cat,e-Qrb;A]YV,clara.ribasmas@insgabrielamistral.cat,e-Qrb;A]YV
David,Gomez Morales,DAM1,david.gomezmorales@insgabrielamistral.cat,&WGts;Pfh1,david.gomezmorales@insgabrielamistral.cat,&WGts;Pfh1
Anna,Torres Ferrer,4rtESO,anna.torresferrer@insgabrielamistral.cat,?{+~/QBYry,anna.torresferrer@insgabrielamistral.cat,?{+~/QBYry
Clara,Ribas Torres,ASIX1,clara.ribastorres@insgabrielamistral.cat,%:[/Yg7ly?,clara.ribastorres@insgabrielamistral.cat,%:[/Yg7ly?
Sergi,Martínez Torres,2nESO,sergi.martíneztorres@insgabrielamistral.cat,{mSWQ/&\r3,sergi.martíneztorres@insgabrielamistral.cat,{mSWQ/&\r3
Josep,Ribas López,4rtESO,josep.ribaslópez@insgabrielamistral.cat,`1HccMxYC3,josep.ribaslópez@insgabrielamistral.cat,`1HccMxYC3
Albert,Gomez Martínez,2nESO,albert.gomezmartínez@insgabrielamistral.cat,5&cyy2SMaw,albert.gomezmartínez@insgabrielamistral.cat,5&cyy2SMaw
David,Colom Costa,3rESO,david.colomcosta@insgabrielamistral.cat,uAg{Ee&tRk,david.colomcosta@insgabrielamistral.cat,uAg{Ee&tRk
Laura,Morales Garcia,ASIX1,laura.moralesgarcia@insgabrielamistral.cat,I60j!+gM)a,laura.moralesgarcia@insgabrielamistral.cat,I60j!+gM)a
Carles,Sanchez Colom,DAM1,carles.sanchezcolom@insgabrielamistral.cat,$1:l)J4+gZ,carles.sanchezcolom@insgabrielamistral.cat,$1:l)J4+gZ
Josep,Colom Mas,DAM1,josep.colommas@insgabrielamistral.cat,4uH0$A$}DS,josep.colommas@insgabrielamistral.cat,4uH0$A$}DS
Nuria,López Garcia,2nESO,nuria.lópezgarcia@insgabrielamistral.cat,~|XNs.JQtO,nuria.lópezgarcia@insgabrielamistral.cat,~|XNs.JQtO
Marc,Prat López,DAM1,marc.pratlópez@insgabrielamistral.cat,"/.wVI""RNHd",marc.pratlópez@insgabrielamistral.cat,"/.wVI""RNHd"
Mireia,Morales Garcia,ASIX1,mireia.moralesgarcia@insgabrielamistral.cat,"IwX,6ot:x?",mireia.moralesgarcia@insgabrielamistral.cat,"IwX,6ot:x?"
Maria,López Ferrer,DAM1,maria.lópezferrer@insgabrielamistral.cat,Z}AzAZWS[B,maria.lópezferrer@insgabrielamistral.cat,Z}AzAZWS[B
